epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.40844571590423584,0.0003000000142492354,0.5320881605148315,0.20612582564353943,0.5325846672058105
1,0.6504613161087036,0.0003000000142492354,0.3620046377182007,0.5587748289108276,0.32784703373908997
2,0.736160397529602,0.0003000000142492354,0.31440624594688416,0.8592715263366699,0.26591089367866516
3,0.7744854688644409,0.0003000000142492354,0.2943858504295349,0.8741722106933594,0.2621557116508484
4,0.8081973195075989,0.0003000000142492354,0.2786408066749573,0.8948675394058228,0.24970126152038574
5,0.8305535912513733,0.0003000000142492354,0.27160078287124634,0.8981788158416748,0.24548107385635376
6,0.8385379910469055,0.0003000000142492354,0.2658071517944336,0.9031456708908081,0.24072152376174927
7,0.8543292880058289,0.0003000000142492354,0.25839000940322876,0.9139072895050049,0.23644360899925232
8,0.8667494654655457,0.0003000000142492354,0.2525578737258911,0.9213576316833496,0.2337055653333664
9,0.8685237765312195,0.0003000000142492354,0.2509286403656006,0.9246688485145569,0.22948551177978516
10,0.8821859359741211,0.0003000000142492354,0.24659840762615204,0.9230132699012756,0.22868409752845764
11,0.8892831802368164,0.0003000000142492354,0.24257953464984894,0.9254966974258423,0.22384679317474365
12,0.8940737843513489,0.0003000000142492354,0.23808591067790985,0.9246688485145569,0.2215222716331482
13,0.9050745368003845,0.0003000000142492354,0.23367653787136078,0.9263244867324829,0.21896059811115265
14,0.9004613161087036,0.0003000000142492354,0.2316492348909378,0.9279801249504089,0.2174881249666214
15,0.906671404838562,0.0003000000142492354,0.2291380614042282,0.9304635524749756,0.2142406702041626
16,0.9054293632507324,0.0003000000142492354,0.22539661824703217,0.9271523356437683,0.21190860867500305
17,0.902945339679718,0.0003000000142492354,0.22355978190898895,0.9271523356437683,0.2096165269613266
18,0.9086231589317322,0.0003000000142492354,0.2194906324148178,0.9271523356437683,0.2073386162519455
19,0.9052519798278809,0.0003000000142492354,0.21712841093540192,0.9288079738616943,0.20457015931606293
20,0.9180269837379456,0.0003000000142492354,0.21334490180015564,0.9362582564353943,0.20129521191120148
21,0.9151880741119385,0.0003000000142492354,0.2099766880273819,0.9279801249504089,0.199843168258667
22,0.9143009185791016,0.0003000000142492354,0.2079172134399414,0.9279801249504089,0.1968468278646469
23,0.9176720976829529,0.0003000000142492354,0.20375537872314453,0.932947039604187,0.19327159225940704
24,0.9112846255302429,0.0003000000142492354,0.20216602087020874,0.9337748289108276,0.19044499099254608
25,0.9182044267654419,0.0003000000142492354,0.19703735411167145,0.932947039604187,0.18782225251197815
26,0.9160752296447754,0.0003000000142492354,0.19524425268173218,0.9362582564353943,0.18458618223667145
27,0.9151880741119385,0.0003000000142492354,0.19262288510799408,0.934602677822113,0.18211758136749268
28,0.922817587852478,0.0003000000142492354,0.187757670879364,0.934602677822113,0.17906048893928528
29,0.913591206073761,0.0003000000142492354,0.188315287232399,0.932947039604187,0.17715725302696228
30,0.9224627614021301,0.0003000000142492354,0.18314531445503235,0.9370861053466797,0.1740749627351761
31,0.924237072467804,0.0003000000142492354,0.17888101935386658,0.9370861053466797,0.17032065987586975
32,0.9235273003578186,0.0003000000142492354,0.1762622743844986,0.9337748289108276,0.16777077317237854
33,0.9208658337593079,0.0003000000142492354,0.17318929731845856,0.9379138946533203,0.1643669456243515
34,0.9217529892921448,0.0003000000142492354,0.17077253758907318,0.9354304671287537,0.16135452687740326
35,0.923349916934967,0.0003000000142492354,0.1662195473909378,0.9387417435646057,0.15840819478034973
36,0.9309794306755066,0.0003000000142492354,0.16143500804901123,0.9362582564353943,0.1550525724887848
37,0.9268985390663147,0.0003000000142492354,0.1594754457473755,0.9387417435646057,0.15222102403640747
38,0.9284954071044922,0.0003000000142492354,0.15561044216156006,0.9387417435646057,0.1479085385799408
